source_layer,category_code,category_label,reviewed_document_count,reviewed_layer_total,reviewed_share,suggested_document_count,suggested_layer_total,suggested_share
STATE_ORGAN,MILITARY_OPERATIONS_SECURITY,Military operations & security claims,0,0,,22,24,0.9166666666666666
STATE_ORGAN,DIPLOMACY_MEDIATION_DEESCALATION,"Diplomacy, mediation & de-escalation",0,0,,0,24,0.0
STATE_ORGAN,PROCUREMENT_MILITARY_CAPABILITY,Procurement & military capability,0,0,,2,24,0.08333333333333333
STATE_ORGAN,SANCTIONS_ECONOMIC_MEASURES,Sanctions & economic measures,0,0,,0,24,0.0
STATE_ORGAN,ENERGY_TRADE_DEPENDENCY,"Energy, trade & dependency",0,0,,0,24,0.0
STATE_ORGAN,HUMANITARIAN_CIVILIAN_IMPACT,Humanitarian & civilian impact,0,0,,0,24,0.0
STATE_ORGAN,DOMESTIC_POLITICS_LAW_BUDGET,"Domestic politics, law & budget",0,0,,0,24,0.0
NEWS,MILITARY_OPERATIONS_SECURITY,Military operations & security claims,0,0,,24,41,0.5853658536585366
NEWS,DIPLOMACY_MEDIATION_DEESCALATION,"Diplomacy, mediation & de-escalation",0,0,,8,41,0.1951219512195122
NEWS,PROCUREMENT_MILITARY_CAPABILITY,Procurement & military capability,0,0,,0,41,0.0
NEWS,SANCTIONS_ECONOMIC_MEASURES,Sanctions & economic measures,0,0,,3,41,0.07317073170731707
NEWS,ENERGY_TRADE_DEPENDENCY,"Energy, trade & dependency",0,0,,0,41,0.0
NEWS,HUMANITARIAN_CIVILIAN_IMPACT,Humanitarian & civilian impact,0,0,,0,41,0.0
NEWS,DOMESTIC_POLITICS_LAW_BUDGET,"Domestic politics, law & budget",0,0,,0,41,0.0
TELEVISION,MILITARY_OPERATIONS_SECURITY,Military operations & security claims,0,0,,0,1,0.0
TELEVISION,DIPLOMACY_MEDIATION_DEESCALATION,"Diplomacy, mediation & de-escalation",0,0,,1,1,1.0
TELEVISION,PROCUREMENT_MILITARY_CAPABILITY,Procurement & military capability,0,0,,0,1,0.0
TELEVISION,SANCTIONS_ECONOMIC_MEASURES,Sanctions & economic measures,0,0,,0,1,0.0
TELEVISION,ENERGY_TRADE_DEPENDENCY,"Energy, trade & dependency",0,0,,0,1,0.0
TELEVISION,HUMANITARIAN_CIVILIAN_IMPACT,Humanitarian & civilian impact,0,0,,0,1,0.0
TELEVISION,DOMESTIC_POLITICS_LAW_BUDGET,"Domestic politics, law & budget",0,0,,0,1,0.0
