relative_trading_day,event_count,average_abnormal_return,median_abnormal_return,positive_abnormal_share,abnormal_return_std,aar_standard_error,cumulative_average_abnormal_return,event_car_std,caar_standard_error,average_ols_abnormal_return,ols_abnormal_return_std,ols_aar_standard_error,cumulative_average_ols_abnormal_return,ols_event_car_std,ols_caar_standard_error
-5,5,0.004339234815644481,-0.0100410683536787,0.4,0.027380183183496477,0.012244790166938944,0.004339234815644481,0.027380183183496477,0.012244790166938944,-0.010686731937402825,0.008984874073878895,0.004018157839693735,-0.010686731937402825,0.008984874073878895,0.004018157839693735
-4,5,0.0013005474904231606,0.0012480897721115,0.6,0.0263473863210733,0.0117829093686736,0.005639782306067641,0.03690459239473866,0.01650423545531148,-0.001156515994782799,0.031486456232036074,0.01408117130108091,-0.011843247932185625,0.03169871418324375,0.014176095942613948
-3,5,0.02135432486404586,0.0274677077259931,0.8,0.01928728232689924,0.008625534876835404,0.026994107170113503,0.044779430505931285,0.020025970120998028,0.022292661588594526,0.021700785977247058,0.009704886522059725,0.010449413656408897,0.0514333407506671,0.02300168924568034
-2,5,0.0015151017899270795,0.0052070597578157,0.6,0.013197487182157807,0.005902095694297401,0.028509208960040583,0.03566807317769887,0.015951247250354322,-0.0006333856422181999,0.014437555994805132,0.006456671326668775,0.0098160280141907,0.043866689500687735,0.019617779934282816
-1,5,-0.004443806477846761,-0.0114742944151173,0.4,0.04407409097502116,0.019710532693331458,0.02406540248219382,0.05648156129851434,0.025259322107759868,-0.010768383459856999,0.05025901727476782,0.022476515821743415,-0.0009523554456662975,0.06555024957762369,0.02931496279952869
0,5,0.00485961739858376,0.0034705418371774,0.6,0.023234535985079317,0.010390800377660478,0.02892501988077758,0.07086970676375028,0.03169389637384445,0.005526667304952674,0.023643937244884304,0.010573890187060078,0.004574311859286376,0.08475088066612115,0.037901746064483904
1,5,7.622903291450018e-05,-0.0073704295254917,0.4,0.030619028691860384,0.013693245912003256,0.02900124891369208,0.0674845299311491,0.03017999927113372,-0.012939473735375025,0.02500046250833636,0.011180546727515001,-0.008365161876088649,0.07344409574926926,0.032845198128273884
2,5,-0.007407656686243222,-0.0145066706804913,0.4,0.026141068889798117,0.011690641408418708,0.021593592227448857,0.08804459388016803,0.039374739393483536,-0.012396552096541575,0.030650386052938756,0.013707269350196505,-0.020761713972630224,0.09889250420370606,0.04422607237293409
3,5,-0.0025665105373511407,-0.0026244376371045,0.4,0.029220092474051197,0.013067622616161697,0.01902708169009772,0.09640065371315991,0.04311168295560861,-0.0034669247179021003,0.03525059803139251,0.015764546689142782,-0.024228638690532323,0.11555583327556357,0.05167813968015846
4,5,0.0013709340452259604,0.0050912263713931,0.6,0.01655986429087812,0.007405796450514966,0.020398015735323675,0.08791733416173078,0.0393178271172389,-0.0044796820585598,0.01332413561518399,0.005958734595395475,-0.028708320749092124,0.10276363956209188,0.04595729673522483
5,5,-0.014777042216269378,0.0024554027890872,0.6,0.031318764982927516,0.014006177494633192,0.0056209735190542965,0.09681561550716664,0.04329725951150147,-0.023282274205356425,0.034221557904380286,0.015304345954027913,-0.05199059495444855,0.10795951286191444,0.048280961915400704
6,5,0.005817805302254559,0.0014470361042816,0.6,0.023290128004065474,0.01041566188435238,0.011438778821308858,0.08401819975107173,0.03757408119811046,0.0010781375586832497,0.024577171205242915,0.010991245101914718,-0.0509124573957653,0.08582191016639829,0.03838072501818937
7,5,0.0011627916329303603,-0.001951073403332,0.4,0.012854819795288616,0.005748850180155055,0.012601570454239213,0.08034245115075207,0.03593023645040756,-0.0011505919657472255,0.014483832040423255,0.0064773666034151755,-0.05206304936151253,0.08430781585338008,0.03770360145653846
8,5,-0.01117381664261256,-0.0094961575307936,0.0,0.010862532152206504,0.004857872060022167,0.001427753811626658,0.08134246905291782,0.036377458051999434,-0.01610203619207355,0.013218013201092792,0.005911275209026616,-0.06816508555358608,0.08267677062870354,0.036974175857187826
9,5,-0.00505406035919158,0.0054717485367588,0.8,0.029291399159318908,0.013099511935263453,-0.003626306547564922,0.08478887695422552,0.03791873852110272,-0.010976566287807023,0.033058183140960914,0.014784068943165222,-0.0791416518413931,0.07574612060687295,0.03387469494177311
10,5,0.00245749938527086,-0.0024585972195603,0.4,0.013116784595892632,0.005866004400527606,-0.0011688071622940623,0.0876607005001445,0.03920305705471458,-0.0008865225547602998,0.014331146452398432,0.00640908353261357,-0.0800281743961534,0.0781076745521452,0.034930813972605425
