company_id,company_name,market_data_ticker,benchmark_ticker,analysis_tier,is_confirmatory,status,row_count,first_date,last_date,output_file,error
CMP001,Airbus SE,AIR.PA,^FCHI,PRIMARY_DIRECT,True,PROCESSED,937,2023-01-02,2026-09-02,data/processed/market/universe/CMP001_AIR_PA_vs_FCHI.csv,
CMP002,Apple Inc.,AAPL,^GSPC,SECONDARY_INDIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP002_AAPL_vs_GSPC.csv,
CMP003,BAE Systems plc,BA.L,^FTSE,PRIMARY_DIRECT,False,PROCESSED,927,2023-01-03,2026-09-02,data/processed/market/universe/CMP003_BA_L_vs_FTSE.csv,
CMP004,Bayer AG,BAYN.DE,^GDAXI,SECONDARY_INDIRECT,False,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP004_BAYN_DE_vs_GDAXI.csv,
CMP005,BlackRock Inc.,BLK,^GSPC,CONTEXT_FINANCIAL,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP005_BLK_vs_GSPC.csv,
CMP006,BP p.l.c.,BP.L,^FTSE,PRIMARY_DIRECT,False,PROCESSED,926,2023-01-03,2026-09-02,data/processed/market/universe/CMP006_BP_L_vs_FTSE.csv,
CMP007,Canadian Natural Resources Limited,CNQ.TO,^GSPTSE,PRIMARY_DIRECT,False,PROCESSED,922,2023-01-03,2026-09-02,data/processed/market/universe/CMP007_CNQ_TO_vs_GSPTSE.csv,
CMP008,Caterpillar Inc.,CAT,^DJI,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP008_CAT_vs_DJI.csv,
CMP009,"Contemporary Amperex Technology Co., Limited (CATL)",300750.SZ,000300.SS,SECONDARY_INDIRECT,False,PROCESSED,856,2023-01-03,2026-07-17,data/processed/market/universe/CMP009_300750_SZ_vs_000300_SS.csv,
CMP010,Chevron Corporation,CVX,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP010_CVX_vs_GSPC.csv,
CMP011,CNOOC Limited,0883.HK,^HSI,PRIMARY_DIRECT,False,PROCESSED,899,2023-01-03,2026-09-02,data/processed/market/universe/CMP011_0883_HK_vs_HSI.csv,
CMP012,ConocoPhillips,COP,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP012_COP_vs_GSPC.csv,
CMP013,"CrowdStrike Holdings, Inc.",CRWD,^NDX,SECONDARY_INDIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP013_CRWD_vs_NDX.csv,
CMP014,DHL AG,DHL.DE,^GDAXI,SECONDARY_INDIRECT,False,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP014_DHL_DE_vs_GDAXI.csv,
CMP015,Duke Energy Corporation,DUK,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP015_DUK_vs_GSPC.csv,
CMP016,Eli Lilly and Company,LLY,^GSPC,SECONDARY_INDIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP016_LLY_vs_GSPC.csv,
CMP017,Enbridge Inc.,ENB.TO,^GSPTSE,PRIMARY_DIRECT,False,PROCESSED,922,2023-01-03,2026-09-02,data/processed/market/universe/CMP017_ENB_TO_vs_GSPTSE.csv,
CMP018,Equinor ASA,EQNR.OL,OBX.OL,PRIMARY_DIRECT,False,PROCESSED,884,2023-01-02,2026-07-17,data/processed/market/universe/CMP018_EQNR_OL_vs_OBX_OL.csv,
CMP019,Exxon Mobil Corporation,XOM,^GSPC,PRIMARY_DIRECT,True,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP019_XOM_vs_GSPC.csv,
CMP020,FedEx Corporation,FDX,^GSPC,SECONDARY_INDIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP020_FDX_vs_GSPC.csv,
CMP021,GE Vernova Inc.,GEV,^GSPC,PRIMARY_DIRECT,False,PROCESSED,611,2024-03-27,2026-09-02,data/processed/market/universe/CMP021_GEV_vs_GSPC.csv,
CMP022,General Dynamics Corporation,GD,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP022_GD_vs_GSPC.csv,
CMP023,"The Goldman Sachs Group, Inc.",GS,^DJI,CONTEXT_FINANCIAL,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP023_GS_vs_DJI.csv,
CMP024,HENSOLDT AG,HAG.DE,^MDAXI,PRIMARY_DIRECT,True,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP024_HAG_DE_vs_MDAXI.csv,
CMP025,HOCHTIEF Aktiengesellschaft,HOT.DE,^GDAXI,SECONDARY_INDIRECT,False,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP025_HOT_DE_vs_GDAXI.csv,
CMP026,"Iberdrola, S.A.",IBE.MC,^IBEX,PRIMARY_DIRECT,False,PROCESSED,937,2023-01-02,2026-09-02,data/processed/market/universe/CMP026_IBE_MC_vs_IBEX.csv,
CMP027,Lockheed Martin Corporation,LMT,^GSPC,PRIMARY_DIRECT,True,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP027_LMT_vs_GSPC.csv,
CMP028,Marathon Petroleum Corporation,MPC,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP028_MPC_vs_GSPC.csv,
CMP029,"NextEra Energy, Inc.",NEE,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP029_NEE_vs_GSPC.csv,
CMP030,Northrop Grumman Corporation,NOC,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP030_NOC_vs_GSPC.csv,
CMP031,Novo Nordisk A/S,NOVO-B.CO,^OMXC25,SECONDARY_INDIRECT,False,PROCESSED,889,2023-01-03,2026-09-02,data/processed/market/universe/CMP031_NOVO-B_CO_vs_OMXC25.csv,
CMP032,NVIDIA Corporation,NVDA,^GSPC,SECONDARY_INDIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP032_NVDA_vs_GSPC.csv,
CMP033,Palantir Technologies Inc.,PLTR,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP033_PLTR_vs_GSPC.csv,
CMP034,PetroChina Company Limited,601857.SS,000001.SS,PRIMARY_DIRECT,False,PROCESSED,889,2023-01-03,2026-09-02,data/processed/market/universe/CMP034_601857_SS_vs_000001_SS.csv,
CMP035,Rheinmetall AG,RHM.DE,^GDAXI,PRIMARY_DIRECT,True,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP035_RHM_DE_vs_GDAXI.csv,
CMP036,RTX Corporation,RTX,^GSPC,PRIMARY_DIRECT,True,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP036_RTX_vs_GSPC.csv,
CMP037,RWE AG,RWE.DE,^GDAXI,PRIMARY_DIRECT,False,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP037_RWE_DE_vs_GDAXI.csv,
CMP038,Sanofi,SAN.PA,^FCHI,SECONDARY_INDIRECT,False,PROCESSED,937,2023-01-02,2026-09-02,data/processed/market/universe/CMP038_SAN_PA_vs_FCHI.csv,
CMP039,SAP SE,SAP.DE,^GDAXI,SECONDARY_INDIRECT,False,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP039_SAP_DE_vs_GDAXI.csv,
CMP040,Saudi Arabian Oil Company,2222.SR,^TASI.SR,PRIMARY_DIRECT,False,PROCESSED,870,2023-01-01,2026-07-16,data/processed/market/universe/CMP040_2222_SR_vs_TASI_SR.csv,
CMP041,Shell plc,SHEL.L,^FTSE,PRIMARY_DIRECT,True,PROCESSED,927,2023-01-03,2026-09-02,data/processed/market/universe/CMP041_SHEL_L_vs_FTSE.csv,
CMP042,China Petroleum & Chemical Corporation (Sinopec Corp.),600028.SS,000001.SS,PRIMARY_DIRECT,True,PROCESSED,889,2023-01-03,2026-09-02,data/processed/market/universe/CMP042_600028_SS_vs_000001_SS.csv,
CMP043,The Southern Company,SO,^GSPC,PRIMARY_DIRECT,False,PROCESSED,920,2023-01-03,2026-09-02,data/processed/market/universe/CMP043_SO_vs_GSPC.csv,
CMP044,Thales S.A.,HO.PA,^FCHI,PRIMARY_DIRECT,False,PROCESSED,937,2023-01-02,2026-09-02,data/processed/market/universe/CMP044_HO_PA_vs_FCHI.csv,
CMP045,TotalEnergies SE,TTE.PA,^FCHI,PRIMARY_DIRECT,False,PROCESSED,937,2023-01-02,2026-09-02,data/processed/market/universe/CMP045_TTE_PA_vs_FCHI.csv,
CMP046,Volkswagen AG,VOW.DE,^GDAXI,POST_HOC_EXPLORATORY_ROBUSTNESS_CASE,False,PROCESSED,933,2023-01-02,2026-09-02,data/processed/market/universe/CMP046_VOW_DE_vs_GDAXI.csv,
