company_id,company_name,market_data_ticker,benchmark_ticker,trade_currency,primary_listing_exchange,analysis_tier,role_category,is_confirmatory,Date,company_price,benchmark_price,company_return,benchmark_return,abnormal_return,company_cumulative_return,benchmark_cumulative_return,cumulative_abnormal_return,ols_event_date,ols_estimation_window_observations,ols_status,ols_alpha,ols_beta,ols_r_squared,market_model_expected_return,market_model_abnormal_return,market_model_cumulative_abnormal_return
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-02,272.13385009765625,1097.780029296875,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,-0.0008260834163516127,0.0008260834163516127,0.0008260834163516127
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-03,256.93194580078125,1082.949951171875,-0.055861864635434855,-0.013509152771251087,-0.04235271186418377,-0.055861864635434855,-0.013509152771251087,-0.04235271186418377,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,-0.020668535729900465,-0.03519332890553439,-0.03436724548918278
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-04,244.3855438232422,1065.8399658203125,-0.04883161546313608,-0.015799423909708454,-0.033032191553427626,-0.10196565500563959,-0.029095139849665497,-0.07538490341761139,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,-0.024032521363895845,-0.024799094099240235,-0.05916633958842302
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-05,246.001953125,1077.219970703125,0.006614177240070074,0.010677029617719436,-0.004062852377649362,-0.09602589668017669,-0.018728759901852632,-0.07944775579526075,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,0.014856502651577378,-0.008242325411507304,-0.06740866499993033
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-06,247.5029296875,1088.7099609375,0.006101482298952687,0.01066633607514289,-0.004564853776190203,-0.09051031469005921,-0.008262191074093539,-0.08401260957145096,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,0.014840795811020392,-0.008739313512067705,-0.07614797851199803
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-09,240.98048400878903,1095.1700439453125,-0.026353003929877827,0.005933704328607181,-0.03228670825848501,-0.11447809994121538,-0.002377512144426497,-0.11629931782993597,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,0.007889433180192326,-0.034242437110070155,-0.1103904156220682
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-10,238.58767700195312,1085.1099853515625,-0.009929463859607135,-0.009185841641092596,-0.0007436222185145391,-0.12327085764473977,-0.011541514335460579,-0.1170429400484505,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,-0.014318389544614542,0.004388925685007407,-0.1060014899370608
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-11,234.3037567138672,1081.0799560546875,-0.017955329218662275,-0.0037139362380572694,-0.014241392980605005,-0.13901281803132393,-0.015212586125185279,-0.1312843330290555,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,-0.006281170344973828,-0.011674158873688447,-0.11767564881074924
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-12,239.1280212402344,1093.8699951171875,0.02058978735137673,0.011830798444526058,0.008758988906850673,-0.12128527504232778,-0.003561764720926286,-0.12252534412220484,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,0.016551176130693675,0.004038611220683056,-0.11363703759006619
CMP018,Equinor ASA,EQNR.OL,OBX.OL,NOK,Oslo Børs,PRIMARY_DIRECT,Raw Materials & Energy,False,2023-01-13,238.1631317138672,1088.199951171875,-0.004035033290380685,-0.005183471500838643,0.0011484382104579582,-0.1248309182102797,-0.008726773915841313,-0.12137690591174688,2026-02-28,790,ok,-0.0008260834163516127,1.4688154504978062,0.5103016241030873,-0.008439646443998463,0.004404613153617778,-0.10923242443644841
