estimate_id,actor_or_country,reporting_party,reporting_party_relationship,military_killed,civilian_killed,unclassified_killed,total_killed,total_injured,facilities_or_equipment_damaged_destroyed,damage_description,as_of_note,source_name,source_url,verification_status,notes
CDE-001,United States,United States,SELF,19,0,0,20,762,228,"228+ U.S. facilities damaged or destroyed; 42 aircraft lost or damaged (totals: 19 soldiers + 1 contractor killed, 757 military + 5 contractor injured).","No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,"228+ U.S. facilities damaged or destroyed; 42 aircraft lost or damaged (totals: 19 soldiers + 1 contractor killed, 757 military + 5 contractor injured)."
CDE-002,Israel,Israel,SELF,40,31,0,71,7841,,"7,841 injured includes 1,468 military personnel. Killed figure includes 1 contractor alongside 40 soldiers.","No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,"7,841 injured includes 1,468 military personnel. Killed figure includes 1 contractor alongside 40 soldiers."
CDE-003,Saudi Arabia,Saudi Arabia,SELF,0,3,0,3,23,,,"No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,
CDE-004,United Arab Emirates,United Arab Emirates,SELF,2,13,0,15,246,,Killed figure includes 1 civilian contractor alongside 2 soldiers and 12 civilians.,"No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,Killed figure includes 1 civilian contractor alongside 2 soldiers and 12 civilians.
CDE-005,Bahrain,Bahrain,SELF,0,2,0,2,51,,,"No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,
CDE-006,Kuwait,Kuwait,SELF,4,8,0,12,190,,190 injured comprises 82 soldiers and 108 civilians.,"No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,190 injured comprises 82 soldiers and 108 civilians.
CDE-007,Iran,Iran,SELF,,,3528,3528,27170,,Iran's own figure does not break the total down into military vs. civilian.,"No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,Iran's own figure does not break the total down into military vs. civilian.
CDE-008,Iran,HRANA (Human Rights Activists News Agency),THIRD_PARTY_NGO,1249,1721,714,3684,,,HRANA is an Iranian human-rights monitoring NGO based outside Iran; independent of both the Iranian government and US/Israel.,"No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,HRANA is an Iranian human-rights monitoring NGO based outside Iran; independent of both the Iranian government and US/Israel.
CDE-009,Iran,UN OCHA (Office for the Coordination of Humanitarian Affairs),UN_AGENCY,,3400,0,3400,33000,,"OCHA figure is civilian-only ('3,400+' and '33,000+' are reported as minimums, not precise counts).","No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,"OCHA figure is civilian-only ('3,400+' and '33,000+' are reported as minimums, not precise counts)."
CDE-010,Iran,United States and Israel,ADVERSARY,6000,,0,6000,15000,190,"Adversary-reported military-only killed/wounded figure; 190+ ballistic missile launchers and 155 naval vessels destroyed or damaged, per the same source.","No single as-of date given in the infobox; article retrieved 2026-09-14, war ongoing since 28 Feb 2026","Wikipedia infobox compilation (2026 Iran war), retrieved 2026-09-14",https://en.wikipedia.org/wiki/2026_Iran_war,SELF_OR_ADVERSARY_REPORTED_NOT_INDEPENDENTLY_VERIFIED,"Adversary-reported military-only killed/wounded figure; 190+ ballistic missile launchers and 155 naval vessels destroyed or damaged, per the same source."
